Silver V 1018	체스판 다시 칠하기 ESSENTIAL	
Bronze III 1085	직사각형에서 탈출	
Silver V 1181	단어 정렬 ESSENTIAL	
Bronze I 1259	팰린드롬수 ESSENTIAL	
Silver V 1436	영화감독 숌	
Silver III 1654	랜선 자르기	
Silver III 1874	스택 수열	
Silver IV 1920	수 찾기 ESSENTIAL	
Silver II 1929	소수 구하기	
Silver III 1966	프린터 큐	
Silver IV 1978	소수 찾기 ESSENTIAL	
Silver IV 2108	통계학	
Silver IV 2164	카드2 ESSENTIAL	
Bronze II 2231	분해합	
Bronze II 2292	벌집	
Silver V 2609	최대공약수와 최소공배수 ESSENTIAL	
Silver V 2751	수 정렬하기 2 ESSENTIAL	
Bronze II 2775	부녀회장이 될테야	
Bronze II 2798	블랙잭 ESSENTIAL	
Silver III 2805	나무 자르기	
Bronze I 2839	설탕 배달	
Bronze I 2869	달팽이는 올라가고 싶다	
Bronze III 4153	직각삼각형 ESSENTIAL	
Silver IV 4949	균형잡힌 세상	
Silver V 7568	덩치	
Silver IV 9012	괄호 ESSENTIAL	
Bronze III 10250	ACM 호텔 ESSENTIAL	
Silver IV 10773	제로	
Silver V 10814	나이순 정렬 ESSENTIAL	
Silver IV 10816	숫자 카드 2 ESSENTIAL	
Silver IV 10828	스택 ESSENTIAL	
Silver IV 10845	큐 ESSENTIAL	
Silver IV 10866	덱 ESSENTIAL	
Silver V 10989	수 정렬하기 3 STANDARD	
Bronze I 11050	이항 계수 1 ESSENTIAL	
Silver V 11650	좌표 정렬하기 ESSENTIAL STANDARD	
Silver V 11651	좌표 정렬하기 2	
Silver IV 11866	요세푸스 문제 0 ESSENTIAL	
Bronze II 15829	Hashing	
Silver III 18111	마인크래프트	
